-13.2,19.6,10,2.7
-9.9,19.1,10,1.8
-6,18.8,10,1.6
-2.9,18.3,10,1.3
0.6,18.15,10,1.1
3.8,18.1,10,1.1
7.1,18.5,10,1.5
10.3,18.8,10,1.8
-13,14.9,10,1.5
-9.4,14.3,10,1
-6.2,14,10,0.7
-2.9,13.6,10,0.3
0.3,13.5,10,0.3
3.2,13.6,10,0.3
6.5,14,10,0.9
10.1,14.2,10,1
-12.5,10.4,10,0.7
-9,10.1,10,0.3
-5.9,9.7,10,0.1
-2.8,9.5,10,-0.1
0.15,9.25,10,0
2.9,9.5,10,0
6.1,9.7,10,0.2
9.5,10.2,10,0.4
-12.2,6.7,10,0.3
-8.8,6.3,10,0.1
-5.3,5.6,10,-0.1
-2.7,5.4,10,0.8
-0.05,5.4,10,1
2.65,5.55,10,0.8
5.5,5.8,10,0.05
9.1,6.5,10,0.2
